Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
AMST,902,001,9399,PH.D. RESEARCH SEMINAR,3,M,15:35 - 18:35,Greenlaw RBuilding,526A,"ROBINSON,MIRIAM MICHELLE"
AMST,992,001,4280,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,992,002,5534,MASTER'S (NON-THESIS),3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,993,001,10069,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,993,002,10685,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,993,003,10702,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,994,001,4281,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Alexander,Kelly"
AMST,994,002,4282,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Berlinger,Gabrielle Anna"
AMST,994,003,4283,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"COBB,DANIEL M"
AMST,994,004,4284,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Engelhardt,Elizabeth Sanders"
AMST,994,005,4285,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"HINSON,GLENN D"
AMST,994,006,4286,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"HOLLAND,SHARON PATRICIA"
AMST,994,007,4287,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Kelley,Blair Lynne Murphy"
AMST,994,008,5589,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Kotch,Seth M."
AMST,994,009,12704,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"MARR,TIMOTHY W"
AMST,994,010,15048,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Randolph,Antonia Maria"
AMST,994,011,15049,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"RICHOTTE Jr,KEITH S"
AMST,994,012,15050,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"ROBINSON,MIRIAM MICHELLE"
AMST,994,013,15051,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"SAWIN,PATRICIA E"
AMST,994,014,15052,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"WILLIS,RACHEL"
FOLK,470,001,5446,MEDICINE & ANTHRO,3,MWF,13:25 - 14:15,Fetzer Hall RBuilding,0106,"KING,MARTHA E"
FOLK,487,001,12124,PERSONAL NARRATIVE & LEGEND,3,TuTh,14:00 - 15:15,Mitchell RBuilding,0009,"Lovejoy,Jordan Elizabeth"
FOLK,537,001,14704,GENDER AND PERFORMANCE,3,TuTh,12:30 - 13:45,Graham Memorial RBuilding,0213,"Randolph,Antonia Maria"
FOLK,571,001,14693,SOUTHERN MUSIC,3,TuTh,11:00 - 12:15 COUNTRY MUSIC,Greenlaw RBuilding,0319,"Martinez,Amanda Marie"
FOLK,670,001,14144,ORAL HISTORY,3,Tu,15:35 - 18:35,Dey Hall RBuilding,0301,"Kelley,Blair Lynne Murphy"
FOLK,850,001,14701,FOLKLORE THEORY,3,M,15:30 - 18:30,Murphey RBuilding,0117,"SAWIN,PATRICIA E"
FOLK,895,001,4790,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,"Berlinger,Gabrielle Anna"
FOLK,993,001,3526,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,993,002,2943,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,993,003,2942,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,993,004,1971,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,993,005,3970,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,60,001,13398,FYS: CRISIS & RESILIENCE,3,TuTh,11:00 - 12:15,Alumni RBuilding,0205,"MCANANY,PATRICIA A"
ANTH,67,001,14548,BLACKNESS AND RACIALIZATION,3,TuTh,14:00 - 15:15,Hanes Art Center RBuilding,0117,"PRICE,CHARLES R"
ANTH,89,001,10262,FYS: SPECIAL TOPICS,3,MWF,10:10 - 11:00 History of the World,Alumni RBuilding,0203,"Smit,Douglas Karel"
ANTH,89,047,13382,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 Canine Cultures,Alumni RBuilding,0203,"WIENER,MARGARET J"
ANTH,89,064,11883,FYS: SPECIAL TOPICS,3,TuTh,09:30 - 10:45 WALKING IN THE WORLD,Alumni RBuilding,0205,"NELSON,CHRISTOPHER T"
ANTH,101,001,3076,GEN ANTHROPOLOGY,3,MWF,14:30 - 15:20,Mitchell RBuilding,121A,"Colclasure,Cayla Briann"
ANTH,102,001,5317,CULTURAL ANTH,3,MWF,12:30 - 13:10,Graham Memorial RBuilding,0213,Staff
ANTH,121,001,11667,ANCIENT CITIES: AMERICAS,3,MWF,09:05 - 09:55,Phillips RBuilding,0265,"Smit,Douglas Karel"
ANTH,121,601,13854,ANCIENT CITIES: AMERICAS Recitation 3 A (In Person On Campus Learners),3,F,10:10 - 11:00,Alumni RBuilding,0308,Staff
ANTH,143,001,2005,HUMAN EVOL & ADAPT,3,MW,15:35 - 16:50,Peabody RBuilding,1040,"Hilton,Charles Edward"
ANTH,143,604,2197,HUMAN EVOL & ADAPT Recitation 3 A (In Person On Campus Learners),3,F,13:25 - 14:15,Alumni RBuilding,0404,Staff
ANTH,147,607,9252,COMP HEALING SYSTEM Recitation 3 A (In Person On Campus Learners),3,Th,14:00 - 14:50,Alumni RBuilding,0205,"Gupta,Sugandh"
ANTH,151,001,10094,FOOD AND CULTURE,3,MWF,11:15 - 12:05,Phillips RBuilding,0215,"Briggs,Rachel Virginia"
ANTH,151,606,11728,FOOD AND CULTURE Recitation 3 A (In Person On Campus Learners),3,W,16:40 - 17:30,Alumni RBuilding,0203,Staff
ANTH,231,001,11462,INCA AND THEIR ANCESTORS,3,MWF,13:25 - 14:15,Phillips RBuilding,0265,"BILLMAN,BRIAN R"
ANTH,252,001,5527,ARCHAEOLOGY OF FOOD,3,TuTh,11:00 - 12:15,Hanes Hall RBuilding,0112,"Briggs,Rachel Virginia"
ANTH,270,001,5352,LIVING MEDICINE,3,TuTh,11:00 - 12:15,Carroll RBuilding,0111,"KING,MARTHA E"
