Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
PHYS,295,19,8592,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,20,8593,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,21,8594,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,22,8595,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,23,8596,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,24,8597,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,25,8598,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,311,1,4257,ELECTROMAGNETISM I,3,TuTh,12:30 - 13:45,Phillips Hall,265,"LOPEZ,RENE",FALSE
PHYS,331,1,8265,NUM TECH IN SCI I,4,MWF,12:20 - 13:10,Phillips Hall,247,"Rodriguez,Carl Louis",FALSE
PHYS,331,401,8266,NUM TECH IN SCI I Lab 0 A (In Person On Campus Learners),4,W,17:05 - 19:05,Phillips Hall,247,"Rodriguez,Carl Louis",FALSE
PHYS,332,501,9438,NUM TECH IN SCI II Lab 0 A (In Person On Campus Learners),1,Th,15:30 - 17:30,Phillips Hall,275,"DRUT,JOAQUIN EMILIANO",FALSE
PHYS,395,2,6779,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,3,6842,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,4,6845,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,5,6849,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,6,6850,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,7,6854,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,8,6859,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,9,6861,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,10,6864,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,11,6979,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,12,8599,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,13,8600,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,14,8601,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,15,8602,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,16,8603,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,17,8604,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,18,8605,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,19,8606,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,20,8607,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,21,8608,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,22,8609,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,23,8610,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,24,8611,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,395,25,8612,RESEARCH WITH FACULTY II,1,TBA,TBA,TBA,TBA,Staff,FALSE
