Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
FOLK,571,1,14693,SOUTHERN MUSIC,3,TuTh,11:00 - 12:15 COUNTRY MUSIC,Greenlaw,319,"Martinez,Amanda Marie",FALSE
FOLK,670,1,14144,ORAL HISTORY,3,Tu,15:35 - 18:35,Dey Hall,301,"Kelley,Blair Lynne Murphy",FALSE
FOLK,850,1,14701,FOLKLORE THEORY,3,M,15:30 - 18:30,Murphey,117,"SAWIN,PATRICIA E",FALSE
FOLK,895,1,4790,DIRECTED READINGS,3,TBA,TBA,TBA,TBA,"Berlinger,Gabrielle Anna",FALSE
FOLK,993,1,3526,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
FOLK,993,2,2943,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
FOLK,993,3,2942,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
FOLK,993,4,1971,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
FOLK,993,5,3970,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,60,1,13398,FYS: CRISIS & RESILIENCE,3,TuTh,11:00 - 12:15,Alumni,205,"MCANANY,PATRICIA A",FALSE
ANTH,67,1,14548,BLACKNESS AND RACIALIZATION,3,TuTh,14:00 - 15:15,Hanes Art Center,117,"PRICE,CHARLES R",FALSE
ANTH,89,1,10262,FYS: SPECIAL TOPICS,3,MWF,10:10 - 11:00 History of the World,Alumni,203,"Smit,Douglas Karel",FALSE
ANTH,89,47,13382,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 Canine Cultures,Alumni,203,"WIENER,MARGARET J",FALSE
ANTH,89,64,11883,FYS: SPECIAL TOPICS,3,TuTh,09:30 - 10:45 WALKING IN THE WORLD,Alumni,205,"NELSON,CHRISTOPHER T",FALSE
ANTH,101,1,3076,GEN ANTHROPOLOGY,3,MWF,14:30 - 15:20,Mitchell,121A,"Colclasure,Cayla Briann",FALSE
ANTH,102,1,5317,CULTURAL ANTH,3,MWF,12:30 - 13:10,Graham Memorial,213,Staff,FALSE
ANTH,121,1,11667,ANCIENT CITIES: AMERICAS,3,MWF,09:05 - 09:55,Phillips,265,"Smit,Douglas Karel",FALSE
ANTH,121,601,13854,ANCIENT CITIES: AMERICAS Recitation 3 A (In Person On Campus Learners),3,F,10:10 - 11:00,Alumni,308,Staff,FALSE
ANTH,143,1,2005,HUMAN EVOL & ADAPT,3,MW,15:35 - 16:50,Peabody,1040,"Hilton,Charles Edward",FALSE
ANTH,143,604,2197,HUMAN EVOL & ADAPT Recitation 3 A (In Person On Campus Learners),3,F,13:25 - 14:15,Alumni,404,Staff,FALSE
ANTH,147,607,9252,COMP HEALING SYSTEM Recitation 3 A (In Person On Campus Learners),3,Th,14:00 - 14:50,Alumni,205,"Gupta,Sugandh",FALSE
ANTH,151,1,10094,FOOD AND CULTURE,3,MWF,11:15 - 12:05,Phillips,215,"Briggs,Rachel Virginia",FALSE
ANTH,151,606,11728,FOOD AND CULTURE Recitation 3 A (In Person On Campus Learners),3,W,16:40 - 17:30,Alumni,203,Staff,FALSE
ANTH,231,1,11462,INCA AND THEIR ANCESTORS,3,MWF,13:25 - 14:15,Phillips,265,"BILLMAN,BRIAN R",FALSE
ANTH,252,1,5527,ARCHAEOLOGY OF FOOD,3,TuTh,11:00 - 12:15,Hanes Hall,112,"Briggs,Rachel Virginia",FALSE
ANTH,270,1,5352,LIVING MEDICINE,3,TuTh,11:00 - 12:15,Carroll,111,"KING,MARTHA E",FALSE
ANTH,272,1,13635,HEALING IN ETHNOGRAPHY AND LIT,3,TuTh,15:30 - 16:45,Fetzer Hall,109,"RIVKIN-FISH,MICHELE R",FALSE
ANTH,272,604,13640,HEALING IN ETHNOGRAPHY AND LITRecitation 3 A (In Person On Campus Learners),3,F,12:20 - 13:10,Alumni,203,Staff,FALSE
ANTH,284,606,13407,CULTURE & CONSUMPTION Recitation 3 A (In Person On Campus Learners),3,F,14:30 - 15:20,Alumni,308,Staff,FALSE
ANTH,290,2,13409,SPEC TOPIC ANTH II,3,MW,15:35 - 16:50 Environmental Justic,Dey Hall,202,"Gagnon,Terese Virginia",FALSE
ANTH,295,36,5922,RES IN ANTH II,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,298,1,3152,BIO ANTH THEORY AND PRACTICE,3,TuTh,15:30 - 16:45,Greenlaw,317,"Hilton,Charles Edward",FALSE
ANTH,315,1,5154,HUMAN GENETICS,3,TuTh,12:30 - 13:45,Alumni,207,"Hilton,Charles Edward",FALSE
ANTH,319,1,2012,GLOBAL HEALTH,3,MWF,10:10 - 11:00,Stone Center,103,"SORENSEN,MARK V",FALSE
ANTH,319,614,13871,GLOBAL HEALTH Recitation 3 A (In Person On Campus Learners),3,F,13:25 - 14:15,Alumni,203,Staff,FALSE
ANTH,326,1,10252,PRACTICING MED ANTHROPOLOGY,3,TuTh,09:30 - 10:45,Global Center,3033,"KING,MARTHA E",FALSE
ANTH,354,1,14368,EVERYDAY LIVES IN MIDDLE EAST,3,TuTh,09:30 - 10:45,New West,219,"Vinea,Ana Maria",FALSE
ANTH,390,1,10260,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,15:30 - 16:45 Anthropology of Fitn,Carolina Hall,213,"Curtin,Emily Jeanne",FALSE
ANTH,390,2,10259,SPECIAL TOPICS: MEDICAL ANTH,3,,,,,"Curtin,Emily Jeanne",TRUE
ANTH,390,4,11469,SPECIAL TOPICS: MEDICAL ANTH,3,MW,15:35 - 16:50 Climate Change & Hea,Dey Hall,410,"Curtin,Emily Jeanne",FALSE
ANTH,390,5,11669,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,09:30 - 10:45 Faith and Healing,Alumni,203,"Hariharan,Anusha",FALSE
ANTH,390,6,12386,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,14:00 - 15:15,Phillips,265,"Hoke,Morgan Kathleen",FALSE
ANTH,390,7,13383,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,10:10 - 11:00,Alumni,207,Staff,FALSE
ANTH,390,8,13384,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,12:20 - 13:20,Peabody,2066,Staff,FALSE
ANTH,390,9,13385,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,14:30 - 15:20,Hanes Hall,112,Staff,FALSE
ANTH,393,1,4911,ANTH INTERNSHIP,1,TBA,TBA,TBA,TBA,"CHUA,JOCELYN LIM",FALSE
ANTH,393,42,5605,ANTH INTERNSHIP,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,395,1,9794,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,395,3,12992,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,395,36,9959,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,395,89,10840,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,1,12921,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,36,12923,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,67,5574,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,73,10051,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,76,9904,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,78,5275,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,82,4808,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,396,89,4809,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA,TBA,Staff,FALSE
ANTH,418,1,13414,CERAMIC ANALYSIS LAB,3,TuTh,11:00 - 12:15,Alumni,404,"STEPONAITIS,VINCAS P",FALSE
ANTH,420,1,14573,PUBLIC ARCHAEOLOGY,3,TuTh,14:00 - 15:15,Alumni,404,Staff,FALSE
ANTH,427,1,13431,RACE,3,TuTh,15:30 - 16:45,Alumni,207,"PRICE,CHARLES R",FALSE
ANTH,437,1,11464,EVOLUTIONARY MEDICINE,3,TuTh,11:00 - 12:15,Mitchell,9,"Hoke,Morgan Kathleen",FALSE
ANTH,450,1,12474,ETHNOGRAPHIC RESEARCH METHODS,3,Tu,15:30 - 18:30,Alumni,205,"Stuesse,Angela Christine",FALSE
ANTH,470,1,2013,MEDICINE & ANTHRO,3,MWF,13:25 - 14:15,Fetzer Hall,106,"KING,MARTHA E",FALSE
ANTH,470,602,13644,MEDICINE & ANTHRO Recitation 3 A (In Person On Campus Learners),3,M,11:15 - 12:05,Alumni,308,Staff,FALSE
ANTH,490,47,12422,UNDERGRAD SEMINAR ANTHRO,3,TuTh,11:00 - 12:15 Humans and/in The We,Alumni,203,"WIENER,MARGARET J",FALSE
ANTH,523,1,5126,PHONOLOGICAL THEORY I,3,TuTh,15:30 - 16:45,Dey Hall,304,"SMITH,JENNIFER L",FALSE
ANTH,537,1,14703,GENDER AND PERFORMANCE,3,TuTh,12:30 - 13:45,Graham Memorial,213,"Randolph,Antonia Maria",FALSE
ANTH,542,1,11398,PIDGINS AND CREOLES,3,TuTh,11:00 - 12:15,Dey Hall,304,"ROBERGE,PAUL T",FALSE
ANTH,550,1,13417,ARCHAEOLOGY AMERICAN SOUTH,3,TuTh,14:00 - 15:15,Tate Turner Kuralt,113,"STEPONAITIS,VINCAS P",FALSE
ANTH,582,1,13419,FIELDWORK MED ANTH,3,MWF,14:30 - 15:20,Alumni,205,"RIVKIN-FISH,MICHELE R",FALSE
ANTH,623,1,13420,HUMAN DISEASE ECOLOGY,3,MF,12:20 - 13:35,Gardner,210,"SORENSEN,MARK V",FALSE
ANTH,676,1,13421,RESEARCH METHODS IN HUMAN BIOL,3,W,11:15 - 13:45,Stone Center,200,"SORENSEN,MARK V",FALSE
ANTH,705,1,11466,ARCHAEOLOGICAL THEORY,3,Tu,09:30 - 12:00,Alumni,308,"AGBE-DAVIES,ANNA SOPHIA",FALSE
ANTH,750,1,13422,SEM IN MEDICAL ANTH,3,Th,11:00 - 14:30,Stone Center,200,"CHUA,JOCELYN LIM",FALSE
